FID,Person Key,Crash Key,FDOT Crash Number,FLHSMV Crash Number,Crash Date,Crash Time,Crash Time Slot,Crash Day,FDOT Managing District,FDOT County Code,County,FDOT Roadway ID,FDOT Mile Post,Road System,SSO Latitude,SSO Longitude,CITY,Person Type Code,Person Type,Person Gender Code,Person Gender,Person Age,Person Injury Code,Person Injury,Person Location Code,Person Location at Crash Time,Person Action Code,Person Action Prior to Crash,Person Action/Circumstance Code,Person Action/Circumstance,Suspected Alcohol Code,Suspected Alcohol Use,Suspected Drug Code,Suspected Drug Use,x,y
406,2016-851775590-2,2016-851775590,851775590,85177559,2/11/2016 3:20,3:20 AM,2: 3A-6A,4: Wed,2,34,Levy,34000000,0,Off-system,29.278854,-82.409554,Jacksonville,1,Pedestrian,2,Female,51,5,Fatal,77,Other,1,Crossing roadway,2,Dart/dash,88,Unknown,88,Unknown,-9173789.97,3411186.703
407,2016-851777870-3,2016-851777870,851777870,85177787,3/20/2016 11:47,11:47 AM,4: 9A-12P,7: Sat,2,31,Gilchrist,31030000,10.076,On-system,29.7198551,-82.8576388,Jacksonville,3,Bicyclist,1,Male,15,4,Serious (Incapacitating),5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),3,Failure to yield right-of-way,1,No,1,No,-9223670.558,3467591.133
408,2016-851782060-2,2016-851782060,851782060,85178206,10/21/2016 13:35,1:35 PM,5: 12P-3P,5: Thr,5,36,Marion,36000000,0,Off-system,29.256859,-82.235052,Jacksonville,3,Bicyclist,2,Female,55,4,Serious (Incapacitating),5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),3,Failure to yield right-of-way,2,Yes,88,Unknown,-9154364.49,3408379.928
409,2016-851802180-2,2016-851802180,851802180,85180218,6/5/2016 1:30,1:30 AM,1: 12A-3A,7: Sat,3,49,Franklin,49000000,0,Off-system,29.731362,-85.009621,Jacksonville,1,Pedestrian,1,Male,2,5,Fatal,5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",1,No,1,No,-9463228.189,3469066.168
410,2016-851803360-7,2016-851803360,851803360,85180336,1/3/2016 20:04,8:04 PM,7: 6P-9P,7: Sat,1,13,Manatee,13010000,4.639,On-system,27.4533237,-82.575387,Jacksonville,1,Pedestrian,1,Male,56,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-9192250.414,3180224.252
411,2016-851812180-1,2016-851812180,851812180,85181218,4/15/2016 20:50,8:50 PM,7: 6P-9P,5: Thr,3,50,Gadsden,50000000,0,Off-system,30.623015,-84.363488,Jacksonville,1,Pedestrian,1,Male,38,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",77,Other,1,No,1,No,-9391300.976,3583887.38
412,2016-851815130-2,2016-851815130,851815130,85181513,6/25/2016 4:40,4:40 AM,2: 3A-6A,6: Fri,3,49,Franklin,49040000,2.608,On-system,29.8612536,-84.6259021,Jacksonville,1,Pedestrian,1,Male,53,5,Fatal,5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),5,"In roadway improperly (standing, lying, working, playing)",2,Yes,1,No,-9420512.785,3485728.44
413,2016-851819850-1,2016-851819850,851819850,85181985,12/2/2016 3:53,3:53 AM,2: 3A-6A,5: Thr,3,55,Leon,55040000,1.857,On-system,30.300487,-84.2445821,Jacksonville,1,Pedestrian,2,Female,48,5,Fatal,5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),5,"In roadway improperly (standing, lying, working, playing)",1,No,2,Yes,-9378064.427,3542234.15
414,2016-851837920-2,2016-851837920,851837920,85183792,9/10/2016 0:55,12:55 AM,1: 12A-3A,6: Fri,5,75,Orange,75000000,0,Off-system,28.408993,-81.471539,Jacksonville,1,Pedestrian,1,Male,24,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",2,Dart/dash,1,No,1,No,-9069370.584,3300637.666
415,2016-851843570-2,2016-851843570,851843570,85184357,11/27/2016 1:30,1:30 AM,1: 12A-3A,7: Sat,7,10,Hillsborough,10320000,6.214,On-system,28.0503524,-82.4547761,Jacksonville,1,Pedestrian,1,Male,42,5,Fatal,5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",1,No improper action,1,No,1,No,-9178824.068,3255324.215
416,2016-851844240-3,2016-851844240,851844240,85184424,2/3/2016 2:45,2:45 AM,1: 12A-3A,3: Tue,5,18,Sumter,18130000,12.543,On-system,28.7337126,-82.1115978,Jacksonville,1,Pedestrian,1,Male,23,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",6,"Disabled vehicle related (working on, pushing, leaving/approaching)",1,No,1,No,-9140621.626,3341797.758
417,2016-851845820-2,2016-851845820,851845820,85184582,4/2/2016 20:45,8:45 PM,7: 6P-9P,6: Fri,4,88,Indian River,88004000,0,On-system,27.625527,-80.413825,Jacksonville,1,Pedestrian,2,Female,27,4,Serious (Incapacitating),5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),3,Failure to yield right-of-way,2,Yes,1,No,-8951626.363,3201843.469
418,2016-851850410-2,2016-851850410,851850410,85185041,4/29/2016 20:48,8:48 PM,7: 6P-9P,5: Thr,1,7,Hendry,7000000,0,Off-system,26.776086,-81.450241,Jacksonville,3,Bicyclist,1,Male,70,4,Serious (Incapacitating),5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),3,Failure to yield right-of-way,1,No,1,No,-9066999.695,3095525.011
419,2016-851853420-1,2016-851853420,851853420,85185342,3/24/2016 16:48,4:48 PM,6: 3P-6P,4: Wed,3,53,Jackson,53010000,12.762,On-system,30.7820204,-85.2462964,Jacksonville,3,Bicyclist,1,Male,66,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-9489574.787,3604473.327
420,2016-851864060-2,2016-851864060,851864060,85186406,1/1/2016 0:38,12:38 AM,1: 12A-3A,5: Thr,3,50,Gadsden,50000000,0,Off-system,30.616685,-84.671476,Jacksonville,1,Pedestrian,2,Female,44,4,Serious (Incapacitating),7,Shoulder/roadside,7,Adjacent to roadway (shoulder median),77,Other,1,No,1,No,-9425586.053,3583068.554
421,2016-851877150-2,2016-851877150,851877150,85187715,2/20/2016 11:15,11:15 AM,4: 9A-12P,6: Fri,3,46,Bay,46000000,0,Off-system,30.151494,-85.762848,Jacksonville,3,Bicyclist,1,Male,51,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",1,No,1,No,-9547077.061,3523038.606
422,2016-851913260-1,2016-851913260,851913260,85191326,2/26/2016 19:58,7:58 PM,7: 6P-9P,5: Thr,1,1,Charlotte,1000000,0,Off-system,27.012464,-82.083601,Jacksonville,3,Bicyclist,1,Male,14,5,Fatal,5,Travel lane (other location),4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),5,"In roadway improperly (standing, lying, working, playing)",88,Unknown,88,Unknown,-9137505.029,3125029.666
423,2016-851913280-1,2016-851913280,851913280,85191328,3/7/2016 21:44,9:44 PM,8: 9P-12A,1: Sun,1,1,Charlotte,1075000,3.804,On-system,26.8057335,-81.9249792,Jacksonville,1,Pedestrian,2,Female,28,5,Fatal,5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",88,Unknown,88,Unknown,-9119847.325,3099222.224
424,2016-851913310-4,2016-851913310,851913310,85191331,3/31/2016 14:18,2:18 PM,5: 12P-3P,4: Wed,1,1,Charlotte,1000000,0,Off-system,26.948904,-82.011728,Jacksonville,1,Pedestrian,1,Male,4,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,1,No,1,No,-9129504.161,3117090.045
425,2016-851934910-2,2016-851934910,851934910,85193491,9/4/2016 1:49,1:49 AM,1: 12A-3A,7: Sat,5,75,Orange,75060000,12.239,On-system,28.565907,-81.19917,Jacksonville,1,Pedestrian,1,Male,30,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,88,Unknown,1,No,1,No,-9039050.598,3320511.568
426,2016-851942220-1,2016-851942220,851942220,85194222,5/21/2016 21:00,9:00 PM,8: 9P-12A,6: Fri,7,10,Hillsborough,10290000,7.607,On-system,28.054165,-82.3349465,Jacksonville,1,Pedestrian,1,Male,49,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-9165484.694,3255805.131
427,2016-851942290-4,2016-851942290,851942290,85194229,9/30/2016 3:22,3:22 AM,2: 3A-6A,5: Thr,7,10,Hillsborough,10075000,30.157,On-system,28.0405341,-82.3505148,Jacksonville,1,Pedestrian,1,Male,27,5,Fatal,5,Travel lane (other location),1,Crossing roadway,77,Other,1,No,1,No,-9167217.75,3254085.83
428,2016-851942440-2,2016-851942440,851942440,85194244,1/7/2016 12:00,12:00 PM,5: 12P-3P,4: Wed,2,29,Columbia,29000000,0,Off-system,29.853549,-82.648517,Jacksonville,1,Pedestrian,1,Male,31,4,Serious (Incapacitating),7,Shoulder/roadside,7,Adjacent to roadway (shoulder median),1,No improper action,1,No,1,No,-9200391.22,3484739.51
429,2016-851955930-1,2016-851955930,851955930,85195593,8/1/2016 23:00,11:00 PM,8: 9P-12A,1: Sun,8,92,Osceola,92471000,36.382,On-system,28.2919636,-81.3508087,Jacksonville,1,Pedestrian,1,Male,67,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",1,No,1,No,-9055930.944,3285834.505
430,2016-851982650-1,2016-851982650,851982650,85198265,1/24/2016 14:07,2:07 PM,5: 12P-3P,7: Sat,5,77,Seminole,77000000,0,Off-system,28.646959,-81.312441,Jacksonville,3,Bicyclist,2,Female,17,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,4,"Failure to obey traffic signs, signals, officer",1,No,1,No,-9051659.872,3330788.787
431,2016-852023100-2,2016-852023100,852023100,85202310,9/6/2016 18:55,6:55 PM,7: 6P-9P,2: Mon,1,1,Charlotte,1010000,0,On-system,27.004948,-82.135477,Jacksonville,3,Bicyclist,1,Male,60,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,1,No,1,No,-9143279.841,3124090.568
432,2016-852052060-2,2016-852052060,852052060,85205206,5/27/2016 22:40,10:40 PM,8: 9P-12A,5: Thr,2,34,Levy,34010000,1.472,On-system,29.5728027,-82.9139174,Jacksonville,1,Pedestrian,2,Female,29,5,Fatal,5,Travel lane (other location),1,Crossing roadway,4,"Failure to obey traffic signs, signals, officer",2,Yes,2,Yes,-9229935.464,3448755.671
433,2016-852068550-2,2016-852068550,852068550,85206855,5/17/2016 21:29,9:29 PM,8: 9P-12A,2: Mon,5,70,Brevard,70100000,5.844,On-system,28.3562663,-80.7798671,Jacksonville,1,Pedestrian,1,Male,18,4,Serious (Incapacitating),2,Intersection (unmarked crosswalk),1,Crossing roadway,3,Failure to yield right-of-way,1,No,1,No,-8992373.998,3293966.198
434,2016-852115940-2,2016-852115940,852115940,85211594,2/11/2016 22:32,10:32 PM,8: 9P-12A,4: Wed,5,73,Flagler,73000000,0,Off-system,29.600196,-81.229444,Jacksonville,1,Pedestrian,1,Male,29,5,Fatal,77,Other,77,Other,1,No improper action,88,Unknown,88,Unknown,-9042420.689,3452262.311
435,2016-852115940-3,2016-852115940,852115940,85211594,2/11/2016 22:32,10:32 PM,8: 9P-12A,4: Wed,5,73,Flagler,73000000,0,Off-system,29.600196,-81.229444,Jacksonville,1,Pedestrian,2,Female,22,5,Fatal,77,Other,77,Other,1,No improper action,88,Unknown,88,Unknown,-9042420.689,3452262.311
436,2016-852124850-2,2016-852124850,852124850,85212485,4/5/2016 17:32,5:32 PM,6: 3P-6P,2: Mon,5,77,Seminole,77000000,0,Off-system,28.762686,-81.364377,Jacksonville,3,Bicyclist,1,Male,36,4,Serious (Incapacitating),11,Shared-use path/trail,10,None,1,No improper action,1,No,1,No,-9057441.363,3345476.5
437,2016-852144890-3,2016-852144890,852144890,85214489,3/1/2016 16:26,4:26 PM,6: 3P-6P,2: Mon,7,15,Pinellas,15000000,0,Off-system,27.828943,-82.676426,Jacksonville,3,Bicyclist,1,Male,9,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,1,No,1,No,-9203498.028,3227425.13
438,2016-852145200-2,2016-852145200,852145200,85214520,7/14/2016 3:30,3:30 AM,2: 3A-6A,4: Wed,2,34,Levy,34000000,0,Off-system,29.33079,-82.438789,Jacksonville,1,Pedestrian,1,Male,37,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",1,No,1,No,-9177044.396,3417816.64
439,2016-852183570-2,2016-852183570,852183570,85218357,2/5/2016 14:48,2:48 PM,5: 12P-3P,5: Thr,7,2,Citrus,2030000,0.135,On-system,28.6966307,-82.5524054,Jacksonville,3,Bicyclist,1,Male,66,4,Serious (Incapacitating),7,Shoulder/roadside,4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),12,Wrong-way riding/walking,1,No,1,No,-9189692.117,3337090.972
440,2016-852185230-1,2016-852185230,852185230,85218523,10/9/2016 0:00,12:00 AM,1: 12A-3A,7: Sat,5,70,Brevard,70010000,1.373,On-system,27.8724284,-80.4969936,Jacksonville,1,Pedestrian,2,Female,65,5,Fatal,88,Unknown,88,Unknown,88,Unknown,88,Unknown,88,Unknown,-8960884.653,3232900.085
441,2016-852215240-2,2016-852215240,852215240,85221524,1/26/2016 14:20,2:20 PM,5: 12P-3P,2: Mon,2,26,Alachua,26000000,0,Off-system,29.635485,-82.415442,Jacksonville,3,Bicyclist,1,Male,7,4,Serious (Incapacitating),3,Intersection (other),1,Crossing roadway,4,"Failure to obey traffic signs, signals, officer",1,No,1,No,-9174445.421,3456781.08
442,2016-852236430-2,2016-852236430,852236430,85223643,4/1/2016 16:48,4:48 PM,6: 3P-6P,5: Thr,7,8,Hernando,8000000,0,Off-system,28.481658,-82.319499,Jacksonville,1,Pedestrian,2,Female,24,4,Serious (Incapacitating),7,Shoulder/roadside,10,None,1,No improper action,1,No,1,No,-9163765.087,3309837.358
443,2016-852236430-3,2016-852236430,852236430,85223643,4/1/2016 16:48,4:48 PM,6: 3P-6P,5: Thr,7,8,Hernando,8000000,0,Off-system,28.481658,-82.319499,Jacksonville,1,Pedestrian,2,Female,4,5,Fatal,7,Shoulder/roadside,10,None,1,No improper action,1,No,1,No,-9163765.087,3309837.358
444,2016-852236430-4,2016-852236430,852236430,85223643,4/1/2016 16:48,4:48 PM,6: 3P-6P,5: Thr,7,8,Hernando,8000000,0,Off-system,28.481658,-82.319499,Jacksonville,1,Pedestrian,1,Male,1,4,Serious (Incapacitating),7,Shoulder/roadside,10,None,1,No improper action,1,No,1,No,-9163765.087,3309837.358
445,2016-852238150-2,2016-852238150,852238150,85223815,4/12/2016 7:51,7:51 AM,3: 6A-9A,2: Mon,7,15,Pinellas,15000000,0,Off-system,28.114926,-82.694899,Jacksonville,3,Bicyclist,1,Male,42,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-9205554.435,3263471.728
446,2016-852262330-3,2016-852262330,852262330,85226233,1/4/2016 0:47,12:47 AM,1: 12A-3A,1: Sun,5,75,Orange,75280000,21.331,On-system,28.5931655,-81.3820567,Jacksonville,1,Pedestrian,1,Male,48,4,Serious (Incapacitating),7,Shoulder/roadside,6,"In roadway, other (working, playing, etc)",6,"Disabled vehicle related (working on, pushing, leaving/approaching)",1,No,1,No,-9059409.458,3323967.002
447,2016-852266690-2,2016-852266690,852266690,85226669,1/27/2016 6:07,6:07 AM,3: 6A-9A,3: Tue,1,12,Lee,12040000,0.186,On-system,26.5200193,-81.9413948,Jacksonville,1,Pedestrian,1,Male,57,5,Fatal,1,Intersection (marked crosswalk),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-9121674.701,3063632.027
448,2016-852268710-2,2016-852268710,852268710,85226871,4/24/2016 22:04,10:04 PM,8: 9P-12A,7: Sat,6,87,Miami-Dade,87150000,9.386,On-system,25.5722914,-80.4782685,Jacksonville,3,Bicyclist,1,Male,68,5,Fatal,5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),1,No improper action,88,Unknown,88,Unknown,-8958800.176,2946203.686
449,2016-852268790-3,2016-852268790,852268790,85226879,5/14/2016 22:25,10:25 PM,8: 9P-12A,6: Fri,6,87,Miami-Dade,87120000,9.669,On-system,25.7621406,-80.3264181,Jacksonville,1,Pedestrian,1,Male,52,4,Serious (Incapacitating),7,Shoulder/roadside,10,None,1,No improper action,1,No,1,No,-8941896.263,2969651.317
450,2016-852287150-6,2016-852287150,852287150,85228715,1/31/2016 3:22,3:22 AM,2: 3A-6A,7: Sat,5,79,Volusia,79010000,24.333,On-system,29.0992214,-80.9704475,Jacksonville,1,Pedestrian,2,Female,33,5,Fatal,5,Travel lane (other location),77,Other,1,No improper action,88,Unknown,88,Unknown,-9013589.32,3388281.466
451,2016-852287920-2,2016-852287920,852287920,85228792,2/21/2016 0:10,12:10 AM,1: 12A-3A,7: Sat,6,87,Miami-Dade,87047000,1.152,On-system,25.662749,-80.3347862,Jacksonville,1,Pedestrian,1,Male,27,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",1,No,1,No,-8942827.795,2957371.141
452,2016-852295220-2,2016-852295220,852295220,85229522,1/12/2016 16:07,4:07 PM,6: 3P-6P,2: Mon,7,14,Pasco,14030000,8.761,On-system,28.2938828,-82.7091584,Jacksonville,3,Bicyclist,1,Male,16,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,4,"Failure to obey traffic signs, signals, officer",1,No,1,No,-9207141.785,3286077.131
453,2016-852295410-2,2016-852295410,852295410,85229541,1/29/2016 18:08,6:08 PM,7: 6P-9P,5: Thr,1,17,Sarasota,17000000,0,Off-system,27.32766,-82.451292,Jacksonville,3,Bicyclist,2,Female,50,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,12,Wrong-way riding/walking,1,No,1,No,-9178436.217,3164469.147
454,2016-852295480-3,2016-852295480,852295480,85229548,2/8/2016 18:17,6:17 PM,7: 6P-9P,1: Sun,1,17,Sarasota,17020000,12.301,On-system,27.2588413,-82.5210426,Jacksonville,1,Pedestrian,2,Female,68,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-9186200.82,3155848.563
455,2016-852298240-2,2016-852298240,852298240,85229824,2/2/2016 13:32,1:32 PM,5: 12P-3P,2: Mon,1,13,Manatee,13000000,0,Off-system,27.445147,-82.607656,Jacksonville,1,Pedestrian,1,Male,51,4,Serious (Incapacitating),7,Shoulder/roadside,77,Other,1,No improper action,1,No,1,No,-9195842.583,3179198.551
456,2016-852306960-2,2016-852306960,852306960,85230696,1/8/2016 20:18,8:18 PM,7: 6P-9P,5: Thr,7,10,Hillsborough,10110000,1.2,On-system,27.9552857,-82.4156337,Jacksonville,1,Pedestrian,1,Male,26,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",88,Unknown,88,Unknown,-9174466.754,3243338.16
457,2016-852308150-3,2016-852308150,852308150,85230815,2/12/2016 18:46,6:46 PM,7: 6P-9P,5: Thr,3,58,Santa Rosa,58010000,8.828,On-system,30.6024792,-87.0816834,Jacksonville,1,Pedestrian,1,Male,66,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-9693889.19,3581231.13
458,2016-852312990-2,2016-852312990,852312990,85231299,1/5/2016 10:40,10:40 AM,4: 9A-12P,2: Mon,7,14,Pasco,14570002,1.613,On-system,28.2058929,-82.6669709,Jacksonville,1,Pedestrian,2,Female,85,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,1,No,1,No,-9202445.492,3274957.721
459,2016-852319150-1,2016-852319150,852319150,85231915,4/24/2016 2:15,2:15 AM,1: 12A-3A,7: Sat,7,2,Citrus,2030000,19.708,On-system,28.9562459,-82.6285176,Jacksonville,1,Pedestrian,1,Male,22,5,Fatal,5,Travel lane (other location),1,Crossing roadway,88,Unknown,88,Unknown,88,Unknown,-9198164.892,3370078.984
460,2016-852321940-2,2016-852321940,852321940,85232194,1/7/2016 18:15,6:15 PM,7: 6P-9P,4: Wed,1,13,Manatee,13160000,13.218,On-system,27.4114725,-82.339998,Jacksonville,1,Pedestrian,1,Male,25,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",6,"Disabled vehicle related (working on, pushing, leaving/approaching)",1,No,1,No,-9166047.022,3174975.163
461,2016-852326550-1,2016-852326550,852326550,85232655,1/2/2016 0:05,12:05 AM,1: 12A-3A,6: Fri,7,10,Hillsborough,10060000,17.516,On-system,27.8393322,-82.3816339,Jacksonville,1,Pedestrian,1,Male,39,5,Fatal,5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",88,Unknown,88,Unknown,-9170681.912,3228732.964
462,2016-852328110-1,2016-852328110,852328110,85232811,1/13/2016 21:55,9:55 PM,8: 9P-12A,3: Tue,1,17,Sarasota,17000000,0,Off-system,27.388749,-82.504626,Jacksonville,1,Pedestrian,1,Male,71,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,1,No,1,No,-9184373.333,3172125.953
463,2016-852328370-4,2016-852328370,852328370,85232837,2/4/2016 6:00,6:00 AM,3: 6A-9A,4: Wed,1,13,Manatee,13040000,3.247,On-system,27.4616257,-82.6489498,Jacksonville,3,Bicyclist,1,Male,45,4,Serious (Incapacitating),8,Sidewalk,5,Walking/cycling on sidewalk,1,No improper action,1,No,1,No,-9200439.389,3181265.747
464,2016-852334490-1,2016-852334490,852334490,85233449,1/1/2016 0:06,12:06 AM,1: 12A-3A,5: Thr,3,48,Escambia,48020000,12.253,On-system,30.4237702,-87.2613258,Jacksonville,3,Bicyclist,1,Male,52,5,Fatal,5,Travel lane (other location),4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),12,Wrong-way riding/walking,1,No,1,No,-9713886.895,3558139.409
465,2016-852335700-3,2016-852335700,852335700,85233570,4/3/2016 17:19,5:19 PM,6: 3P-6P,7: Sat,2,26,Alachua,26020000,21.238,On-system,29.8082295,-82.545538,Jacksonville,3,Bicyclist,1,Male,53,4,Serious (Incapacitating),5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),1,No improper action,1,No,1,No,-9188927.646,3478923.994
466,2016-852340600-2,2016-852340600,852340600,85234060,12/27/2016 12:50,12:50 PM,5: 12P-3P,2: Mon,4,89,Martin,89000000,0,Off-system,27.143978,-80.194753,Jacksonville,1,Pedestrian,1,Male,70,5,Fatal,1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-8927239.371,3141472.072
467,2016-852343000-2,2016-852343000,852343000,85234300,1/2/2016 10:15,10:15 AM,4: 9A-12P,6: Fri,1,13,Manatee,13010000,0.567,On-system,27.3965156,-82.5632572,Jacksonville,1,Pedestrian,1,Male,84,5,Fatal,8,Sidewalk,77,Other,1,No improper action,1,No,1,No,-9190900.13,3173099.71
468,2016-852344190-2,2016-852344190,852344190,85234419,1/4/2016 17:08,5:08 PM,6: 3P-6P,1: Sun,1,13,Manatee,13010000,5.537,On-system,27.466411,-82.5752736,Jacksonville,3,Bicyclist,1,Male,51,4,Serious (Incapacitating),2,Intersection (unmarked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-9192237.79,3181866.105
469,2016-852344250-2,2016-852344250,852344250,85234425,1/8/2016 3:30,3:30 AM,2: 3A-6A,5: Thr,1,13,Manatee,13000000,0,Off-system,27.463433,-82.58757,Jacksonville,3,Bicyclist,1,Male,17,4,Serious (Incapacitating),7,Shoulder/roadside,1,Crossing roadway,3,Failure to yield right-of-way,1,No,1,No,-9193606.619,3181492.486
470,2016-852344550-1,2016-852344550,852344550,85234455,1/16/2016 3:45,3:45 AM,2: 3A-6A,6: Fri,7,15,Pinellas,15000000,0,Off-system,27.826171,-82.699856,Jacksonville,1,Pedestrian,1,Male,32,4,Serious (Incapacitating),2,Intersection (unmarked crosswalk),1,Crossing roadway,3,Failure to yield right-of-way,1,No,1,No,-9206106.245,3227076.2
471,2016-852344590-1,2016-852344590,852344590,85234459,1/30/2016 11:28,11:28 AM,4: 9A-12P,6: Fri,7,15,Pinellas,15009000,2.733,On-system,28.0491135,-82.7362628,Jacksonville,1,Pedestrian,2,Female,54,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,1,No,1,No,-9210159.033,3255167.945
472,2016-852348260-1,2016-852348260,852348260,85234826,1/8/2016 13:37,1:37 PM,5: 12P-3P,5: Thr,7,14,Pasco,14000000,0,Off-system,28.185993,-82.677453,Jacksonville,3,Bicyclist,1,Male,65,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,1,No,1,No,-9203612.355,3272444.213
473,2016-852349230-1,2016-852349230,852349230,85234923,2/6/2016 14:47,2:47 PM,5: 12P-3P,6: Fri,1,17,Sarasota,17000000,0,Off-system,27.315078,-82.482167,Jacksonville,3,Bicyclist,1,Male,13,4,Serious (Incapacitating),1,Intersection (marked crosswalk),5,Walking/cycling on sidewalk,3,Failure to yield right-of-way,1,No,1,No,-9181873.207,3162892.662
474,2016-852349230-2,2016-852349230,852349230,85234923,2/6/2016 14:47,2:47 PM,5: 12P-3P,6: Fri,1,17,Sarasota,17000000,0,Off-system,27.315078,-82.482167,Jacksonville,6,Occupant of non-motor vehicle transportation device,1,Male,12,4,Serious (Incapacitating),1,Intersection (marked crosswalk),5,Walking/cycling on sidewalk,1,No improper action,1,No,1,No,-9181873.207,3162892.662
475,2016-852349430-1,2016-852349430,852349430,85234943,1/19/2016 14:55,2:55 PM,5: 12P-3P,2: Mon,5,92,Osceola,92090000,9.909,On-system,28.3299461,-81.4731585,Jacksonville,3,Bicyclist,2,Female,27,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,77,Other,1,No,1,No,-9069550.866,3290637.16
476,2016-852353110-2,2016-852353110,852353110,85235311,1/26/2016 18:39,6:39 PM,7: 6P-9P,2: Mon,7,15,Pinellas,15000000,0,Off-system,27.908633,-82.701022,Jacksonville,3,Bicyclist,1,Male,60,4,Serious (Incapacitating),5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),9,"Not visible (dark clothing, no lighting, etc)",1,No,1,No,-9206236.043,3237460.027
477,2016-852355110-2,2016-852355110,852355110,85235511,1/14/2016 16:40,4:40 PM,6: 3P-6P,4: Wed,7,15,Pinellas,15000000,0,Off-system,27.899128,-82.700648,Jacksonville,1,Pedestrian,1,Male,60,4,Serious (Incapacitating),1,Intersection (marked crosswalk),10,None,1,No improper action,1,No,1,No,-9206194.41,3236262.73
478,2016-852355370-2,2016-852355370,852355370,85235537,2/15/2016 20:00,8:00 PM,7: 6P-9P,1: Sun,7,15,Pinellas,15000000,0,Off-system,27.821053,-82.668428,Jacksonville,1,Pedestrian,1,Male,60,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,9,"Not visible (dark clothing, no lighting, etc)",1,No,1,No,-9202607.695,3226431.989
